,Title,Rating,Review,Review_Date
120,"5.0 out of 5 stars
Great portable touch screen monitor",5.0,"It is a great product and i am fully satisfied till now. It has a touch screen feature if connected to type c cable. It comes with a good quality accessories like PD type c cable, Type A to type c cable, hdmi input (mobile or laptop) to mini hdmi output (monitor). I have ROG phone 3 with Android 10 and it works well with it. I played Call of duty Mobile without any lag when connected with my phone. I also tried Amazon firestick and it works well (obviously without touch because it is connected with hdmi) Few things to note1. Touch screen will only work if you connect with Type C cable.2. If you are android user, make sure you have display out facility in your mobile. One Plus 6 does not have it.3. Touch screen will not work with hdmi cable.4. You won't need stylus because touch works very good. Stylus is not that good as it misses sometimes.5. Keep hdmi cable safe and secure because i could not find any alternate cable in market which has mini hdmi output. All other cables are mini hdmi input cables which goes into your cameras.6. The charger is of 60 Watts but the monitor requires only 10 watts. Rest all 50 watt will go to your mobile or laptop for charging which is great.7. Sound is not good. Who expects great sound from monitor. You can connect to 3.5 Jack if you want. You will connect this monitor with either mobile or computer which already has Bluetooth, and 3.5 Jack.8. Menu is not great but it is fine as it gets the job done.9. Build quality is good with aluminium back plate.10. If you need it for gaming, graphic designing, then don't go for it as it is only 60hz monitor with not accurate color rendering.
Read more", 20 July 2021
121,"4.0 out of 5 stars
It's best only with Type C 3.1 devices!!!",4.0,"Product is good but but buy only if you have type C3.1 devices and those devices are more costly than this, like starts from 30k and only few smartphones like Samsung, Pixel are having Type C3.1, So think before buying!!!!It's best if you already have those devices OrIf you can afford additional big bucks to get those devices!!!HDMI function doesn't support touch for Mobiles!!!So finally it's both Good and Not Good product because it's not good standalone, you have to buy it's relatives 😅 to make it good.
Read more", 31 March 2022
122,"5.0 out of 5 stars
With Mac mini m2 touchscreen",5.0,"This product touchscreen is working with Mac mini m2 only thing which is not good is there stylus which will get break easily and you need to buy different stylus for auto CAD
Read more", 18 November 2023
123,"1.0 out of 5 stars
Too expensive",1.0,"The product is highly expensive than it's usability. Moreover, the touch function is worst. They the Pencil given with is not at all usable. They should have given better Pencil or have reduced the price. Using this product from last one year.
Read more", 10 April 2023
124,"5.0 out of 5 stars
Good portables screen",5.0,"It's useful and portable. Overall no issues so far except sound from the monitor is low. You have to have bluetooth speaker connected.
Read more", 16 February 2023
125,"3.0 out of 5 stars
Monitor is pretty good but Do not buy this from amazon",3.0,"Monitor is pretty good but do not buy from amazon as the seller sends an old model of the touch pen with wierd outdated technology of tip (single tip non removable) and amazon is not willing to replace it as the pen is not mentioned as included item in the contents on its page however the pen is indeed an included accessory with this monitor.
Read more", 8 November 2023
126,"5.0 out of 5 stars
Awesome Product Go for It",5.0,"It is out of this world my dream of bezel less portable touch screen monitor completed with this product for MacBook Air 2017 , touch screen working with Hackintosh PC too containing Quad boot Setup Of Windows 10 WinToGo, Ubuntu external , Pheonix OS external SSD with YouTube Vanced Swipe Up pinch to Zoom All perfectly working i am amaze using it but whenever I kept connected  USB Type A to USB Type C for touch functionality it try to take power from CPU to power UP the monitor but unable to power why is that so?
Read more", 27 July 2021
127,"4.0 out of 5 stars
Bit costly, But very useful",4.0,"If you are looking for the portable touch monitor this is the right onePros1) Light weight2) Touch was smooth3) Multi connectivity4) Easy to carry in traveling5) Easy to connect with Laptop / PC, Mobile, Mi Box and Play Station6) Touch worked with HDMI (Use HDMI - Mini HDMI + Type C - Type A cable to machine, If you don't have Type C) & Type C (Just connect Type C - Type C cable, If your machine capable  for external display)7) All cables included in the box with 60watts charger8) Special thanks for providing the magnetic protection cover in box9) Picture Colors were goodCons1) Worst stylus included in box and we need hit the touch screen to use it, which leads to disturb / fell down2) I hope hinges will not last long3) Due to glossy display it gives mirror effect, which is disturbing me a bit4) Worst speakers but we have 3.5 jack to connect external speakers
Read more", 29 July 2021
128,"5.0 out of 5 stars
Great portable touch screen monitor",5.0,"It is a great product and i am fully satisfied till now. It has a touch screen feature if connected to type c cable. It comes with a good quality accessories like PD type c cable, Type A to type c cable, hdmi input (mobile or laptop) to mini hdmi output (monitor). I have ROG phone 3 with Android 10 and it works well with it. I played Call of duty Mobile without any lag when connected with my phone. I also tried Amazon firestick and it works well (obviously without touch because it is connected with hdmi) Few things to note1. Touch screen will only work if you connect with Type C cable.2. If you are android user, make sure you have display out facility in your mobile. One Plus 6 does not have it.3. Touch screen will not work with hdmi cable.4. You won't need stylus because touch works very good. Stylus is not that good as it misses sometimes.5. Keep hdmi cable safe and secure because i could not find any alternate cable in market which has mini hdmi output. All other cables are mini hdmi input cables which goes into your cameras.6. The charger is of 60 Watts but the monitor requires only 10 watts. Rest all 50 watt will go to your mobile or laptop for charging which is great.7. Sound is not good. Who expects great sound from monitor. You can connect to 3.5 Jack if you want. You will connect this monitor with either mobile or computer which already has Bluetooth, and 3.5 Jack.8. Menu is not great but it is fine as it gets the job done.9. Build quality is good with aluminium back plate.10. If you need it for gaming, graphic designing, then don't go for it as it is only 60hz monitor with not accurate color rendering.
Read more", 20 July 2021
129,"4.0 out of 5 stars
It's best only with Type C 3.1 devices!!!",4.0,"Product is good but but buy only if you have type C3.1 devices and those devices are more costly than this, like starts from 30k and only few smartphones like Samsung, Pixel are having Type C3.1, So think before buying!!!!It's best if you already have those devices OrIf you can afford additional big bucks to get those devices!!!HDMI function doesn't support touch for Mobiles!!!So finally it's both Good and Not Good product because it's not good standalone, you have to buy it's relatives 😅 to make it good.
Read more", 31 March 2022
130,"5.0 out of 5 stars
With Mac mini m2 touchscreen",5.0,"This product touchscreen is working with Mac mini m2 only thing which is not good is there stylus which will get break easily and you need to buy different stylus for auto CAD
Read more", 18 November 2023
131,"1.0 out of 5 stars
Too expensive",1.0,"The product is highly expensive than it's usability. Moreover, the touch function is worst. They the Pencil given with is not at all usable. They should have given better Pencil or have reduced the price. Using this product from last one year.
Read more", 10 April 2023
132,"5.0 out of 5 stars
Good portables screen",5.0,"It's useful and portable. Overall no issues so far except sound from the monitor is low. You have to have bluetooth speaker connected.
Read more", 16 February 2023
133,"3.0 out of 5 stars
Monitor is pretty good but Do not buy this from amazon",3.0,"Monitor is pretty good but do not buy from amazon as the seller sends an old model of the touch pen with wierd outdated technology of tip (single tip non removable) and amazon is not willing to replace it as the pen is not mentioned as included item in the contents on its page however the pen is indeed an included accessory with this monitor.
Read more", 8 November 2023
134,"5.0 out of 5 stars
Awesome Product Go for It",5.0,"It is out of this world my dream of bezel less portable touch screen monitor completed with this product for MacBook Air 2017 , touch screen working with Hackintosh PC too containing Quad boot Setup Of Windows 10 WinToGo, Ubuntu external , Pheonix OS external SSD with YouTube Vanced Swipe Up pinch to Zoom All perfectly working i am amaze using it but whenever I kept connected  USB Type A to USB Type C for touch functionality it try to take power from CPU to power UP the monitor but unable to power why is that so?
Read more", 27 July 2021
135,"4.0 out of 5 stars
Bit costly, But very useful",4.0,"If you are looking for the portable touch monitor this is the right onePros1) Light weight2) Touch was smooth3) Multi connectivity4) Easy to carry in traveling5) Easy to connect with Laptop / PC, Mobile, Mi Box and Play Station6) Touch worked with HDMI (Use HDMI - Mini HDMI + Type C - Type A cable to machine, If you don't have Type C) & Type C (Just connect Type C - Type C cable, If your machine capable  for external display)7) All cables included in the box with 60watts charger8) Special thanks for providing the magnetic protection cover in box9) Picture Colors were goodCons1) Worst stylus included in box and we need hit the touch screen to use it, which leads to disturb / fell down2) I hope hinges will not last long3) Due to glossy display it gives mirror effect, which is disturbing me a bit4) Worst speakers but we have 3.5 jack to connect external speakers
Read more", 29 July 2021
136,"5.0 out of 5 stars
Great portable touch screen monitor",5.0,"It is a great product and i am fully satisfied till now. It has a touch screen feature if connected to type c cable. It comes with a good quality accessories like PD type c cable, Type A to type c cable, hdmi input (mobile or laptop) to mini hdmi output (monitor). I have ROG phone 3 with Android 10 and it works well with it. I played Call of duty Mobile without any lag when connected with my phone. I also tried Amazon firestick and it works well (obviously without touch because it is connected with hdmi) Few things to note1. Touch screen will only work if you connect with Type C cable.2. If you are android user, make sure you have display out facility in your mobile. One Plus 6 does not have it.3. Touch screen will not work with hdmi cable.4. You won't need stylus because touch works very good. Stylus is not that good as it misses sometimes.5. Keep hdmi cable safe and secure because i could not find any alternate cable in market which has mini hdmi output. All other cables are mini hdmi input cables which goes into your cameras.6. The charger is of 60 Watts but the monitor requires only 10 watts. Rest all 50 watt will go to your mobile or laptop for charging which is great.7. Sound is not good. Who expects great sound from monitor. You can connect to 3.5 Jack if you want. You will connect this monitor with either mobile or computer which already has Bluetooth, and 3.5 Jack.8. Menu is not great but it is fine as it gets the job done.9. Build quality is good with aluminium back plate.10. If you need it for gaming, graphic designing, then don't go for it as it is only 60hz monitor with not accurate color rendering.
Read more", 20 July 2021
137,"4.0 out of 5 stars
It's best only with Type C 3.1 devices!!!",4.0,"Product is good but but buy only if you have type C3.1 devices and those devices are more costly than this, like starts from 30k and only few smartphones like Samsung, Pixel are having Type C3.1, So think before buying!!!!It's best if you already have those devices OrIf you can afford additional big bucks to get those devices!!!HDMI function doesn't support touch for Mobiles!!!So finally it's both Good and Not Good product because it's not good standalone, you have to buy it's relatives 😅 to make it good.
Read more", 31 March 2022
138,"5.0 out of 5 stars
With Mac mini m2 touchscreen",5.0,"This product touchscreen is working with Mac mini m2 only thing which is not good is there stylus which will get break easily and you need to buy different stylus for auto CAD
Read more", 18 November 2023
139,"1.0 out of 5 stars
Too expensive",1.0,"The product is highly expensive than it's usability. Moreover, the touch function is worst. They the Pencil given with is not at all usable. They should have given better Pencil or have reduced the price. Using this product from last one year.
Read more", 10 April 2023
140,"5.0 out of 5 stars
Good portables screen",5.0,"It's useful and portable. Overall no issues so far except sound from the monitor is low. You have to have bluetooth speaker connected.
Read more", 16 February 2023
141,"3.0 out of 5 stars
Monitor is pretty good but Do not buy this from amazon",3.0,"Monitor is pretty good but do not buy from amazon as the seller sends an old model of the touch pen with wierd outdated technology of tip (single tip non removable) and amazon is not willing to replace it as the pen is not mentioned as included item in the contents on its page however the pen is indeed an included accessory with this monitor.
Read more", 8 November 2023
142,"5.0 out of 5 stars
Awesome Product Go for It",5.0,"It is out of this world my dream of bezel less portable touch screen monitor completed with this product for MacBook Air 2017 , touch screen working with Hackintosh PC too containing Quad boot Setup Of Windows 10 WinToGo, Ubuntu external , Pheonix OS external SSD with YouTube Vanced Swipe Up pinch to Zoom All perfectly working i am amaze using it but whenever I kept connected  USB Type A to USB Type C for touch functionality it try to take power from CPU to power UP the monitor but unable to power why is that so?
Read more", 27 July 2021
143,"4.0 out of 5 stars
Bit costly, But very useful",4.0,"If you are looking for the portable touch monitor this is the right onePros1) Light weight2) Touch was smooth3) Multi connectivity4) Easy to carry in traveling5) Easy to connect with Laptop / PC, Mobile, Mi Box and Play Station6) Touch worked with HDMI (Use HDMI - Mini HDMI + Type C - Type A cable to machine, If you don't have Type C) & Type C (Just connect Type C - Type C cable, If your machine capable  for external display)7) All cables included in the box with 60watts charger8) Special thanks for providing the magnetic protection cover in box9) Picture Colors were goodCons1) Worst stylus included in box and we need hit the touch screen to use it, which leads to disturb / fell down2) I hope hinges will not last long3) Due to glossy display it gives mirror effect, which is disturbing me a bit4) Worst speakers but we have 3.5 jack to connect external speakers
Read more", 29 July 2021
144,"5.0 out of 5 stars
Great portable touch screen monitor",5.0,"It is a great product and i am fully satisfied till now. It has a touch screen feature if connected to type c cable. It comes with a good quality accessories like PD type c cable, Type A to type c cable, hdmi input (mobile or laptop) to mini hdmi output (monitor). I have ROG phone 3 with Android 10 and it works well with it. I played Call of duty Mobile without any lag when connected with my phone. I also tried Amazon firestick and it works well (obviously without touch because it is connected with hdmi) Few things to note1. Touch screen will only work if you connect with Type C cable.2. If you are android user, make sure you have display out facility in your mobile. One Plus 6 does not have it.3. Touch screen will not work with hdmi cable.4. You won't need stylus because touch works very good. Stylus is not that good as it misses sometimes.5. Keep hdmi cable safe and secure because i could not find any alternate cable in market which has mini hdmi output. All other cables are mini hdmi input cables which goes into your cameras.6. The charger is of 60 Watts but the monitor requires only 10 watts. Rest all 50 watt will go to your mobile or laptop for charging which is great.7. Sound is not good. Who expects great sound from monitor. You can connect to 3.5 Jack if you want. You will connect this monitor with either mobile or computer which already has Bluetooth, and 3.5 Jack.8. Menu is not great but it is fine as it gets the job done.9. Build quality is good with aluminium back plate.10. If you need it for gaming, graphic designing, then don't go for it as it is only 60hz monitor with not accurate color rendering.
Read more", 20 July 2021
145,"4.0 out of 5 stars
It's best only with Type C 3.1 devices!!!",4.0,"Product is good but but buy only if you have type C3.1 devices and those devices are more costly than this, like starts from 30k and only few smartphones like Samsung, Pixel are having Type C3.1, So think before buying!!!!It's best if you already have those devices OrIf you can afford additional big bucks to get those devices!!!HDMI function doesn't support touch for Mobiles!!!So finally it's both Good and Not Good product because it's not good standalone, you have to buy it's relatives 😅 to make it good.
Read more", 31 March 2022
146,"5.0 out of 5 stars
With Mac mini m2 touchscreen",5.0,"This product touchscreen is working with Mac mini m2 only thing which is not good is there stylus which will get break easily and you need to buy different stylus for auto CAD
Read more", 18 November 2023
147,"1.0 out of 5 stars
Too expensive",1.0,"The product is highly expensive than it's usability. Moreover, the touch function is worst. They the Pencil given with is not at all usable. They should have given better Pencil or have reduced the price. Using this product from last one year.
Read more", 10 April 2023
148,"5.0 out of 5 stars
Good portables screen",5.0,"It's useful and portable. Overall no issues so far except sound from the monitor is low. You have to have bluetooth speaker connected.
Read more", 16 February 2023
149,"3.0 out of 5 stars
Monitor is pretty good but Do not buy this from amazon",3.0,"Monitor is pretty good but do not buy from amazon as the seller sends an old model of the touch pen with wierd outdated technology of tip (single tip non removable) and amazon is not willing to replace it as the pen is not mentioned as included item in the contents on its page however the pen is indeed an included accessory with this monitor.
Read more", 8 November 2023
150,"5.0 out of 5 stars
Awesome Product Go for It",5.0,"It is out of this world my dream of bezel less portable touch screen monitor completed with this product for MacBook Air 2017 , touch screen working with Hackintosh PC too containing Quad boot Setup Of Windows 10 WinToGo, Ubuntu external , Pheonix OS external SSD with YouTube Vanced Swipe Up pinch to Zoom All perfectly working i am amaze using it but whenever I kept connected  USB Type A to USB Type C for touch functionality it try to take power from CPU to power UP the monitor but unable to power why is that so?
Read more", 27 July 2021
151,"4.0 out of 5 stars
Bit costly, But very useful",4.0,"If you are looking for the portable touch monitor this is the right onePros1) Light weight2) Touch was smooth3) Multi connectivity4) Easy to carry in traveling5) Easy to connect with Laptop / PC, Mobile, Mi Box and Play Station6) Touch worked with HDMI (Use HDMI - Mini HDMI + Type C - Type A cable to machine, If you don't have Type C) & Type C (Just connect Type C - Type C cable, If your machine capable  for external display)7) All cables included in the box with 60watts charger8) Special thanks for providing the magnetic protection cover in box9) Picture Colors were goodCons1) Worst stylus included in box and we need hit the touch screen to use it, which leads to disturb / fell down2) I hope hinges will not last long3) Due to glossy display it gives mirror effect, which is disturbing me a bit4) Worst speakers but we have 3.5 jack to connect external speakers
Read more", 29 July 2021
152,"5.0 out of 5 stars
Great portable touch screen monitor",5.0,"It is a great product and i am fully satisfied till now. It has a touch screen feature if connected to type c cable. It comes with a good quality accessories like PD type c cable, Type A to type c cable, hdmi input (mobile or laptop) to mini hdmi output (monitor). I have ROG phone 3 with Android 10 and it works well with it. I played Call of duty Mobile without any lag when connected with my phone. I also tried Amazon firestick and it works well (obviously without touch because it is connected with hdmi) Few things to note1. Touch screen will only work if you connect with Type C cable.2. If you are android user, make sure you have display out facility in your mobile. One Plus 6 does not have it.3. Touch screen will not work with hdmi cable.4. You won't need stylus because touch works very good. Stylus is not that good as it misses sometimes.5. Keep hdmi cable safe and secure because i could not find any alternate cable in market which has mini hdmi output. All other cables are mini hdmi input cables which goes into your cameras.6. The charger is of 60 Watts but the monitor requires only 10 watts. Rest all 50 watt will go to your mobile or laptop for charging which is great.7. Sound is not good. Who expects great sound from monitor. You can connect to 3.5 Jack if you want. You will connect this monitor with either mobile or computer which already has Bluetooth, and 3.5 Jack.8. Menu is not great but it is fine as it gets the job done.9. Build quality is good with aluminium back plate.10. If you need it for gaming, graphic designing, then don't go for it as it is only 60hz monitor with not accurate color rendering.
Read more", 20 July 2021
153,"4.0 out of 5 stars
It's best only with Type C 3.1 devices!!!",4.0,"Product is good but but buy only if you have type C3.1 devices and those devices are more costly than this, like starts from 30k and only few smartphones like Samsung, Pixel are having Type C3.1, So think before buying!!!!It's best if you already have those devices OrIf you can afford additional big bucks to get those devices!!!HDMI function doesn't support touch for Mobiles!!!So finally it's both Good and Not Good product because it's not good standalone, you have to buy it's relatives 😅 to make it good.
Read more", 31 March 2022
154,"5.0 out of 5 stars
With Mac mini m2 touchscreen",5.0,"This product touchscreen is working with Mac mini m2 only thing which is not good is there stylus which will get break easily and you need to buy different stylus for auto CAD
Read more", 18 November 2023
155,"1.0 out of 5 stars
Too expensive",1.0,"The product is highly expensive than it's usability. Moreover, the touch function is worst. They the Pencil given with is not at all usable. They should have given better Pencil or have reduced the price. Using this product from last one year.
Read more", 10 April 2023
156,"5.0 out of 5 stars
Good portables screen",5.0,"It's useful and portable. Overall no issues so far except sound from the monitor is low. You have to have bluetooth speaker connected.
Read more", 16 February 2023
157,"3.0 out of 5 stars
Monitor is pretty good but Do not buy this from amazon",3.0,"Monitor is pretty good but do not buy from amazon as the seller sends an old model of the touch pen with wierd outdated technology of tip (single tip non removable) and amazon is not willing to replace it as the pen is not mentioned as included item in the contents on its page however the pen is indeed an included accessory with this monitor.
Read more", 8 November 2023
158,"5.0 out of 5 stars
Awesome Product Go for It",5.0,"It is out of this world my dream of bezel less portable touch screen monitor completed with this product for MacBook Air 2017 , touch screen working with Hackintosh PC too containing Quad boot Setup Of Windows 10 WinToGo, Ubuntu external , Pheonix OS external SSD with YouTube Vanced Swipe Up pinch to Zoom All perfectly working i am amaze using it but whenever I kept connected  USB Type A to USB Type C for touch functionality it try to take power from CPU to power UP the monitor but unable to power why is that so?
Read more", 27 July 2021
159,"4.0 out of 5 stars
Bit costly, But very useful",4.0,"If you are looking for the portable touch monitor this is the right onePros1) Light weight2) Touch was smooth3) Multi connectivity4) Easy to carry in traveling5) Easy to connect with Laptop / PC, Mobile, Mi Box and Play Station6) Touch worked with HDMI (Use HDMI - Mini HDMI + Type C - Type A cable to machine, If you don't have Type C) & Type C (Just connect Type C - Type C cable, If your machine capable  for external display)7) All cables included in the box with 60watts charger8) Special thanks for providing the magnetic protection cover in box9) Picture Colors were goodCons1) Worst stylus included in box and we need hit the touch screen to use it, which leads to disturb / fell down2) I hope hinges will not last long3) Due to glossy display it gives mirror effect, which is disturbing me a bit4) Worst speakers but we have 3.5 jack to connect external speakers
Read more", 29 July 2021
160,"5.0 out of 5 stars
Great portable touch screen monitor",5.0,"It is a great product and i am fully satisfied till now. It has a touch screen feature if connected to type c cable. It comes with a good quality accessories like PD type c cable, Type A to type c cable, hdmi input (mobile or laptop) to mini hdmi output (monitor). I have ROG phone 3 with Android 10 and it works well with it. I played Call of duty Mobile without any lag when connected with my phone. I also tried Amazon firestick and it works well (obviously without touch because it is connected with hdmi) Few things to note1. Touch screen will only work if you connect with Type C cable.2. If you are android user, make sure you have display out facility in your mobile. One Plus 6 does not have it.3. Touch screen will not work with hdmi cable.4. You won't need stylus because touch works very good. Stylus is not that good as it misses sometimes.5. Keep hdmi cable safe and secure because i could not find any alternate cable in market which has mini hdmi output. All other cables are mini hdmi input cables which goes into your cameras.6. The charger is of 60 Watts but the monitor requires only 10 watts. Rest all 50 watt will go to your mobile or laptop for charging which is great.7. Sound is not good. Who expects great sound from monitor. You can connect to 3.5 Jack if you want. You will connect this monitor with either mobile or computer which already has Bluetooth, and 3.5 Jack.8. Menu is not great but it is fine as it gets the job done.9. Build quality is good with aluminium back plate.10. If you need it for gaming, graphic designing, then don't go for it as it is only 60hz monitor with not accurate color rendering.
Read more", 20 July 2021
161,"4.0 out of 5 stars
It's best only with Type C 3.1 devices!!!",4.0,"Product is good but but buy only if you have type C3.1 devices and those devices are more costly than this, like starts from 30k and only few smartphones like Samsung, Pixel are having Type C3.1, So think before buying!!!!It's best if you already have those devices OrIf you can afford additional big bucks to get those devices!!!HDMI function doesn't support touch for Mobiles!!!So finally it's both Good and Not Good product because it's not good standalone, you have to buy it's relatives 😅 to make it good.
Read more", 31 March 2022
162,"5.0 out of 5 stars
With Mac mini m2 touchscreen",5.0,"This product touchscreen is working with Mac mini m2 only thing which is not good is there stylus which will get break easily and you need to buy different stylus for auto CAD
Read more", 18 November 2023
163,"1.0 out of 5 stars
Too expensive",1.0,"The product is highly expensive than it's usability. Moreover, the touch function is worst. They the Pencil given with is not at all usable. They should have given better Pencil or have reduced the price. Using this product from last one year.
Read more", 10 April 2023
164,"5.0 out of 5 stars
Good portables screen",5.0,"It's useful and portable. Overall no issues so far except sound from the monitor is low. You have to have bluetooth speaker connected.
Read more", 16 February 2023
165,"3.0 out of 5 stars
Monitor is pretty good but Do not buy this from amazon",3.0,"Monitor is pretty good but do not buy from amazon as the seller sends an old model of the touch pen with wierd outdated technology of tip (single tip non removable) and amazon is not willing to replace it as the pen is not mentioned as included item in the contents on its page however the pen is indeed an included accessory with this monitor.
Read more", 8 November 2023
166,"5.0 out of 5 stars
Awesome Product Go for It",5.0,"It is out of this world my dream of bezel less portable touch screen monitor completed with this product for MacBook Air 2017 , touch screen working with Hackintosh PC too containing Quad boot Setup Of Windows 10 WinToGo, Ubuntu external , Pheonix OS external SSD with YouTube Vanced Swipe Up pinch to Zoom All perfectly working i am amaze using it but whenever I kept connected  USB Type A to USB Type C for touch functionality it try to take power from CPU to power UP the monitor but unable to power why is that so?
Read more", 27 July 2021
167,"4.0 out of 5 stars
Bit costly, But very useful",4.0,"If you are looking for the portable touch monitor this is the right onePros1) Light weight2) Touch was smooth3) Multi connectivity4) Easy to carry in traveling5) Easy to connect with Laptop / PC, Mobile, Mi Box and Play Station6) Touch worked with HDMI (Use HDMI - Mini HDMI + Type C - Type A cable to machine, If you don't have Type C) & Type C (Just connect Type C - Type C cable, If your machine capable  for external display)7) All cables included in the box with 60watts charger8) Special thanks for providing the magnetic protection cover in box9) Picture Colors were goodCons1) Worst stylus included in box and we need hit the touch screen to use it, which leads to disturb / fell down2) I hope hinges will not last long3) Due to glossy display it gives mirror effect, which is disturbing me a bit4) Worst speakers but we have 3.5 jack to connect external speakers
Read more", 29 July 2021
168,"5.0 out of 5 stars
Great portable touch screen monitor",5.0,"It is a great product and i am fully satisfied till now. It has a touch screen feature if connected to type c cable. It comes with a good quality accessories like PD type c cable, Type A to type c cable, hdmi input (mobile or laptop) to mini hdmi output (monitor). I have ROG phone 3 with Android 10 and it works well with it. I played Call of duty Mobile without any lag when connected with my phone. I also tried Amazon firestick and it works well (obviously without touch because it is connected with hdmi) Few things to note1. Touch screen will only work if you connect with Type C cable.2. If you are android user, make sure you have display out facility in your mobile. One Plus 6 does not have it.3. Touch screen will not work with hdmi cable.4. You won't need stylus because touch works very good. Stylus is not that good as it misses sometimes.5. Keep hdmi cable safe and secure because i could not find any alternate cable in market which has mini hdmi output. All other cables are mini hdmi input cables which goes into your cameras.6. The charger is of 60 Watts but the monitor requires only 10 watts. Rest all 50 watt will go to your mobile or laptop for charging which is great.7. Sound is not good. Who expects great sound from monitor. You can connect to 3.5 Jack if you want. You will connect this monitor with either mobile or computer which already has Bluetooth, and 3.5 Jack.8. Menu is not great but it is fine as it gets the job done.9. Build quality is good with aluminium back plate.10. If you need it for gaming, graphic designing, then don't go for it as it is only 60hz monitor with not accurate color rendering.
Read more", 20 July 2021
169,"4.0 out of 5 stars
It's best only with Type C 3.1 devices!!!",4.0,"Product is good but but buy only if you have type C3.1 devices and those devices are more costly than this, like starts from 30k and only few smartphones like Samsung, Pixel are having Type C3.1, So think before buying!!!!It's best if you already have those devices OrIf you can afford additional big bucks to get those devices!!!HDMI function doesn't support touch for Mobiles!!!So finally it's both Good and Not Good product because it's not good standalone, you have to buy it's relatives 😅 to make it good.
Read more", 31 March 2022
170,"5.0 out of 5 stars
With Mac mini m2 touchscreen",5.0,"This product touchscreen is working with Mac mini m2 only thing which is not good is there stylus which will get break easily and you need to buy different stylus for auto CAD
Read more", 18 November 2023
171,"1.0 out of 5 stars
Too expensive",1.0,"The product is highly expensive than it's usability. Moreover, the touch function is worst. They the Pencil given with is not at all usable. They should have given better Pencil or have reduced the price. Using this product from last one year.
Read more", 10 April 2023
172,"5.0 out of 5 stars
Good portables screen",5.0,"It's useful and portable. Overall no issues so far except sound from the monitor is low. You have to have bluetooth speaker connected.
Read more", 16 February 2023
173,"3.0 out of 5 stars
Monitor is pretty good but Do not buy this from amazon",3.0,"Monitor is pretty good but do not buy from amazon as the seller sends an old model of the touch pen with wierd outdated technology of tip (single tip non removable) and amazon is not willing to replace it as the pen is not mentioned as included item in the contents on its page however the pen is indeed an included accessory with this monitor.
Read more", 8 November 2023
174,"5.0 out of 5 stars
Awesome Product Go for It",5.0,"It is out of this world my dream of bezel less portable touch screen monitor completed with this product for MacBook Air 2017 , touch screen working with Hackintosh PC too containing Quad boot Setup Of Windows 10 WinToGo, Ubuntu external , Pheonix OS external SSD with YouTube Vanced Swipe Up pinch to Zoom All perfectly working i am amaze using it but whenever I kept connected  USB Type A to USB Type C for touch functionality it try to take power from CPU to power UP the monitor but unable to power why is that so?
Read more", 27 July 2021
175,"4.0 out of 5 stars
Bit costly, But very useful",4.0,"If you are looking for the portable touch monitor this is the right onePros1) Light weight2) Touch was smooth3) Multi connectivity4) Easy to carry in traveling5) Easy to connect with Laptop / PC, Mobile, Mi Box and Play Station6) Touch worked with HDMI (Use HDMI - Mini HDMI + Type C - Type A cable to machine, If you don't have Type C) & Type C (Just connect Type C - Type C cable, If your machine capable  for external display)7) All cables included in the box with 60watts charger8) Special thanks for providing the magnetic protection cover in box9) Picture Colors were goodCons1) Worst stylus included in box and we need hit the touch screen to use it, which leads to disturb / fell down2) I hope hinges will not last long3) Due to glossy display it gives mirror effect, which is disturbing me a bit4) Worst speakers but we have 3.5 jack to connect external speakers
Read more", 29 July 2021
176,"5.0 out of 5 stars
Great portable touch screen monitor",5.0,"It is a great product and i am fully satisfied till now. It has a touch screen feature if connected to type c cable. It comes with a good quality accessories like PD type c cable, Type A to type c cable, hdmi input (mobile or laptop) to mini hdmi output (monitor). I have ROG phone 3 with Android 10 and it works well with it. I played Call of duty Mobile without any lag when connected with my phone. I also tried Amazon firestick and it works well (obviously without touch because it is connected with hdmi) Few things to note1. Touch screen will only work if you connect with Type C cable.2. If you are android user, make sure you have display out facility in your mobile. One Plus 6 does not have it.3. Touch screen will not work with hdmi cable.4. You won't need stylus because touch works very good. Stylus is not that good as it misses sometimes.5. Keep hdmi cable safe and secure because i could not find any alternate cable in market which has mini hdmi output. All other cables are mini hdmi input cables which goes into your cameras.6. The charger is of 60 Watts but the monitor requires only 10 watts. Rest all 50 watt will go to your mobile or laptop for charging which is great.7. Sound is not good. Who expects great sound from monitor. You can connect to 3.5 Jack if you want. You will connect this monitor with either mobile or computer which already has Bluetooth, and 3.5 Jack.8. Menu is not great but it is fine as it gets the job done.9. Build quality is good with aluminium back plate.10. If you need it for gaming, graphic designing, then don't go for it as it is only 60hz monitor with not accurate color rendering.
Read more", 20 July 2021
177,"4.0 out of 5 stars
It's best only with Type C 3.1 devices!!!",4.0,"Product is good but but buy only if you have type C3.1 devices and those devices are more costly than this, like starts from 30k and only few smartphones like Samsung, Pixel are having Type C3.1, So think before buying!!!!It's best if you already have those devices OrIf you can afford additional big bucks to get those devices!!!HDMI function doesn't support touch for Mobiles!!!So finally it's both Good and Not Good product because it's not good standalone, you have to buy it's relatives 😅 to make it good.
Read more", 31 March 2022
178,"5.0 out of 5 stars
With Mac mini m2 touchscreen",5.0,"This product touchscreen is working with Mac mini m2 only thing which is not good is there stylus which will get break easily and you need to buy different stylus for auto CAD
Read more", 18 November 2023
